省份,品种名称,亲本来源,类型,原产地,审定编号
江　苏,徐稻2号A,南粳15R-2A×徐稻2号,粳型不育系,江苏徐淮地区徐州农业科学研究所,苏种审字第173号
江西,金优F6,金23A×F6-7-4,籼型三系杂交稻,江西省农业科学院水稻研究所,赣审稻2002008
江　苏,扬9优986,扬籼9A×WR986,籼型三系杂交稻,江苏明天种业科技股份有限公司等,苏审稻20230033
江　苏,泗稻7号,日本晴×千重浪,粳型常规稻,江苏省泗阳县棉花原种场,苏种审字第6号
江西,先农37号,金23A×先恢2号,籼型三系杂交稻,江西省种子公司,赣审稻2006058
江　苏,扬籼优26,协青早A×扬恢26,籼型三系杂交稻,江苏里下河地区农业科学研究所,苏审稻200701
江　苏,镇糯19号,武运粳21号×武香糯2402,粳型常规稻,江苏丘陵地区镇江农业科学研究所等,苏审稻201312
江西,明泰A,泰丰A×明泰B,籼型不育系,江西金信种业有限公司,赣审稻20210084
江　苏,盐粳16号,盐粳10号/盐粳6号×武运粳21号,粳型常规稻,盐城市盐都区农业科学研究所,苏审稻201603
江西,赣早籼48号,赣早籼7号×逢双香,籼型常规稻,江西省芦溪县农业局等,赣审稻2000002
江西,赣早籼47号,86-70,籼型常规稻,江西省抚州地区农科所等,赣审稻2000001
江西,赣早籼38号,中28×红突5号,籼型常规稻,江西省农科院水稻所,赣审稻1995003
江　苏,扬早粳88,大粒香×扬粳7311,粳型常规稻,江苏里下河地区农业科学研究所,苏审稻20240041
福建,南系1号,悟农1号/湘矮早9号×119,籼型常规稻,福建省南平市农科所,闽审稻1999002
江　苏,镇香粳5号,武香粳1号/镇稻512×C86-37,粳型常规稻,江苏丘陵地区镇江农业科学研究所,苏种审字第298号
江　苏,盐稻10号,盐稻8933糯×盐稻9107,粳型常规稻,江苏沿海地区农业科学研究所,苏审稻200909
安徽,春优987,春江99A×CH87,粳型三系杂交稻,安徽省创富种业有限公司等,皖审稻20201052
江　苏,邳糯2号,虹糯×桂花黄,粳型常规稻,江苏省邳县稻麦原种场,苏种审字第5号
福建,T优8086,T80A×明恢86,籼型三系杂交稻,福建农林大学作物科学学院等,闽审稻2006030
江　苏,苏粳1180,松粳19×JC19,粳型常规稻,江苏太湖地区农业科学研究所,苏审稻20230065
江西,萍S,矮占43S×广安S,籼型不育系,萍乡市农业科学研究所,赣审稻20190072
江　苏,苏秀2023,16秀早系92×17秀早系115,粳型常规稻,江苏苏乐种业科技有限公司,苏审稻20240040
安徽,徽香粳977,镇稻14×武香粳14,粳型常规稻,安庆市稼元农业科技有限公司等,皖审稻20221109
江　苏,泰香粳1402,武运粳21号×镇稻88/关东194,粳型常规稻,江苏红旗农场生态农业股份有限公司等,苏审稻20210009
江西,紫优218,紫兴05A×中恢218,籼型三系杂交稻,江西大众种业有限公司等,赣审稻2008028
江　苏,瑞两优1503,2189S×R1503,籼型两系杂交稻,江苏明天种业科技股份有限公司等,苏审稻20230032
江西,先农24号,2148S×Q056,籼型两系杂交稻,安微荃银农业高科技研究所,赣审稻2004019
安徽,金禾粳288,15LB01-33/15LB02-87×15LB02-87/...,粳型常规稻,安徽真金彩种业有限责任公司等,皖审稻20221108
江西,安优华占,安丰A×华占,籼型三系杂交稻,北京金色农华种业科技有限公司,赣审稻2015032
江　苏,淮119,07预2106×07预1108,粳型常规稻,江苏徐淮地区淮阴农业科学研究所,苏审稻20170008
江　苏,武运粳80,WP76×武运粳30号,粳型常规稻,江苏神农大丰种业科技有限公司等,苏审稻20170007
江　苏,苏粳4699,南粳5055×2675,粳型常规稻,江苏太湖地区农业科学研究所,苏审稻20220060
浙江,浙粳优2号,浙粳3A×浙粳恢04-02,粳型三系杂交稻,浙江省农业科学院作物与核技术利用研究所等,浙审稻2009035
江　苏,明两优896,明301S×MR3096,籼型两系杂交稻,江苏明天种业科技股份有限公司等,苏审稻20220029
安徽,筑两优玉禾占,银312S×玉禾占,籼型两系杂交稻,安徽荃丰种业科技有限公司,皖审稻2023T004
江西,T优832,T98A×R832,籼型三系杂交稻,周满兰,赣审稻2009019
江西,金优706,金23A×R706,籼型三系杂交稻,湖南隆平高科农平种业有限公司,赣审稻2005079
江西,赣早籼57号,赣早籼26号,籼型常规稻,江西省广丰县农业技术推广站,赣审稻2004002
江西,湘早籼31号,85-183×舟903,籼型常规稻,湖南省水稻研究所,赣审稻2002007
江西,扬籼优30,扬籼2A×扬恢542,籼型三系杂交稻,江苏里下河地区农业科学研究所,赣审稻2006019
江　苏,扬大10号,武育粳3号/松早香1号×苏秀9号,粳型常规稻,扬州江春粮食科技有限公司等,苏审稻20240039
江　苏,苏粳2720,连粳153-14×龙粳27,粳型常规稻,江苏太湖地区农业科学研究所,苏审稻20240038
江西,五优566,五丰A×R156,籼型三系杂交稻,江西天涯种业有限公司,赣审稻2014032
江　苏,盐粳10号,宁2-271/盐粳94173×武运粳8号,粳型常规稻,盐城市盐都区农业科学研究所,苏审稻200908
江　苏,香粳111,武育粳3号/秀水04×紫金糯/武香粳1号,粳型常规稻,江苏里下河地区农业科学研究所,苏种审字第297号
江　苏,常农粳18号,W032×运2917,粳型常规稻,常熟市农业科学研究所,苏审稻20230064
江西,先农20号,中9A×R432,籼型三系杂交稻,江西省种子公司,赣审稻2004018
江　苏,宁香粳9号,宁粳1号/武软2×宁粳3号,粳型常规稻,南京农业大学水稻研究所,苏审稻20230085
安徽,登两优333,登69S×R333,籼型两系杂交稻,滁州登农农业科技有限公司,皖审稻20221008
江　苏,镇稻18号,镇稻99×武运粳7号,粳型常规稻,江苏丘陵地区镇江农业科学研究所等,苏审稻201311
江　苏,淮稻6号,武育粳3号×中国91/盐粳2号,粳型常规稻,江苏徐淮地区淮阴农业科学研究所,苏种审字第354号
江　苏,武连粳1号,C22-3/测18×丙627,粳型常规稻,江苏省武进市稻麦育种场等,苏种审字第353号
江　苏,协优136,协青早A×T136,籼型三系杂交稻,江苏里下河地区农业科学研究所,苏种审字第352号
江　苏,粤优938,粤泰A×R938,籼型三系杂交稻,江苏省农业科学院粮食作物研究所等,苏种审字第351号
江　苏,镇籼241,明恢63×特青,籼型常规稻,江苏丘陵地区镇江农业科学研究所,苏种审字第350号
江　苏,扬稻7号,特三矮×40013,籼型常规稻,江苏里下河地区农业科学研究所,苏种审字第349号
江西,汕优669,珍汕97A×R669,籼型三系杂交稻,福建农业大学等,赣审稻1999008
江　苏,徐优3-2,徐稻2号A×宁恢3-2,粳型三系杂交稻,江苏徐淮地区徐州农业科学研究所,苏种审字第172号
江西,川种305,川香29A×川种恢R305,籼型三系杂交稻,四川川种种业有限责任公司,赣审稻2006018
江西,新丰优644,新丰A×R644,籼型三系杂交稻,江西大众种业有限公司,赣审稻2009018
浙江,八优315,8204A×浙恢H315,粳型三系杂交稻,浙江省农业科学院作物与核技术利用研究所,浙审稻2009034
江西,株两优606,株1S×金恢606,籼型两系杂交稻,江西省农业科学院水稻研究所等,赣审稻2010037
江　苏,邳粳5号,南粳15,粳型常规稻,江苏省邳县稻麦原种场,苏种审字第4号
江　苏,南粳42,910/178//盐粳3号/盐807×盐265-7,粳型常规稻,江苏省农业科学院粮食作物研究所,苏审稻200616
江　苏,淮糯51,淮糯12号×淮稻5号,粳型常规稻,江苏徐淮地区淮阴农业科学研究所,苏审稻20240082
江西,五优61,五丰A×R61,籼型三系杂交稻,江西天涯种业有限公司等,赣审稻2015031
江西,玖两优黄华占,33S×黄华占,籼型两系杂交稻,江西博大种业有限公司等,赣审稻2015030
江西,天优6217,天丰A×R6217,籼型三系杂交稻,浙江勿忘农种业股份有限公司,赣审稻2015029
江西,隆香优130,隆香634A×R130,籼型三系杂交稻,袁隆平农业高科技股份有限公司,赣审稻2015028
江西,永优6258,永6A×R6258,籼型三系杂交稻,宜春学院,赣审稻2015027
江西,新丰优121,新丰A×R121,籼型三系杂交稻,江西大众种业有限公司,赣审稻2008027
江　苏,通粳109,苏引粳1号,粳型常规稻,江苏省南通市种子公司,苏种审字第296号
江　苏,武香糯109,镇稻683×香糯8333,粳型常规稻,江苏红旗种业股份有限公司等,苏审稻20210008
江　苏,连粳15号,连粳7032/446×镇631,粳型常规稻,连云港市农业科学院,苏审稻20170006
江西,中98-19,嘉育948×嘉兴39,籼型常规稻,中国水稻研究所,赣审稻2002006
江　苏,淮稻13号,淮6222,粳型常规稻,江苏徐淮地区淮阴农业科学研究所,苏审稻200907
福建,佳禾早占,E94/广东大粒种//711×外引30,籼型常规稻,厦门大学生命科学学院,闽审稻1999001
江　苏,江洲糯2号,镇5080,粳型常规稻,江苏省扬中市种子公司,苏种审字第295号
江　苏,扬粳糯778,镇糯817×圣香糯1号,粳型常规稻,江苏里下河地区农业科学研究所,苏审稻20240081
安徽,富糯3号,焦9610×乐糯16-3,粳型常规稻,安徽省创富种业有限公司,皖审稻20211088
江西,赣早籼3号,红梅353,籼型常规稻,上饶地区良种场,赣审稻1987003
江　苏,金单粳8917,南粳5055×南粳44,粳型常规稻,常州市金坛种子有限公司等,苏审稻20220059
浙江,甬籼634,中早39×甬籼975,籼型常规稻,浙江龙游县五谷香种业有限公司等,浙审稻2020004
江西,金佳丝苗,LF308A×川种恢R202,籼型三系杂交稻,四川省农业科学院水稻高粱研究所,赣审稻2006017
安徽,春优590,春江25A×CH90,粳型三系杂交稻,安徽省创富种业有限公司等,皖审稻20201051
安徽,中早54,中早46×YK15-82,籼型常规稻,安徽荃银高科种业股份有限公司等,皖审稻2024L001
江西,益禾5号,新丰A×To463,籼型三系杂交稻,黄彩鹏、吴烈梅,赣审稻2006057
江西,中早1号,中156×军协/青四矮,籼型常规稻,中国水稻研究所,赣审稻1995002
江西,荷丰A,五丰A×荷丰B,籼型不育系,江西农业大学农学院等,赣审稻20210083
江　苏,扬粳806,淮68×扬辐粳4901,粳型常规稻,江苏里下河地区农业科学研究所,苏审稻201310
江西,赣早籼56号,中优早3号×浙9248,籼型常规稻,江西农业大学农学院,赣审稻2004001
江　苏,武粳66,武运粳31号×武香粳113,粳型常规稻,江苏明天种业科技股份有限公司等,苏审稻20240037
浙江,春优658,春江16A×CH58,粳型三系杂交稻,中国水稻研究所等,浙审稻2009033
浙江,春优172,春江12A×C172,粳型三系杂交稻,中国水稻研究所等,浙审稻2009032
江　苏,连丰糯,79-9,粳型常规稻,江苏连云港市农技推广中心,苏种审字第294号
