省份,品种名称,亲本来源,类型,原产地,审定编号
辽宁,富元粳3号,沈农988×营0488,粳型常规稻,大石桥市富元种子有限公司,辽审稻2015018
河北,辽营誉1号,辽粳294×辽粳454,粳型常规稻,辽宁省营口鹏昊良种繁育场,冀审稻2013003号
河北,隆粳1550,盐丰47S×辽星1号,粳型两系杂交稻,天津天隆种业科技有限公司,冀审稻2013002号
河北,隆粳60,盐丰47×冀粳13号,粳型常规稻,天津天隆种业科技有限公司,冀审稻2013001号
吉林,吉粳516,通禾836×吉01-125,粳型常规稻,吉林省农业科学院,吉审稻20190022
吉林,新育40,XK88×新科90-6,粳型常规稻,吉林省新田地农业开发有限公司,吉审稻20190021
辽宁,铁粳7号,辽粳207×78-T37/辽粳244,粳型常规稻,铁岭市农业科学院,辽审稻[2005]122号
吉林,吉粳526,吉粳88×长白19,粳型常规稻,吉林省农业科学院,吉审稻20170027
辽宁,盐粳468,港育128×盐丰47/G98040,粳型常规稻,辽宁省盐碱地利用研究所,辽审稻2017025
辽宁,美锋稻65,盐丰47-6×辽农49,粳型常规稻,辽宁东亚种业有限公司,辽审稻2017024
黑龙江,北稻5号,五优稻1号×吉粳60号,粳型常规稻,黑龙江省北方稻作研究所,黑审稻2010006
吉林,吉粳305,2010Q4-7×吉09-2624,粳型常规稻,吉林省农业科学院,吉审稻20210032
黑龙江,龙粳3047,龙粳26×龙粳14,粳型常规稻,黑龙江省农业科学院水稻研究所等,黑审稻20190025
辽宁,辽粳237,辽粳287×辽盐166,粳型常规稻,辽宁省水稻研究所,辽审稻2015017
吉林,通育269,通育313/马唐×通育316/吉01-125,粳型常规稻,通化市农业科学研究院,吉审稻20180023
吉林,九稻6号,下北,粳型常规稻,吉林市农业科学院水稻研究所,吉审稻1983002
吉林,九稻80,九稻41×系选1号,粳型常规稻,吉林市农业科学院,吉审稻20170026
辽宁,金地1号,抚粳4号×吉粳88号,粳型常规稻,抚顺市金地种业有限公司,辽审稻[2011]245号
黑龙江,莲汇10,龙盾00230×龙联1号,粳型常规稻,黑龙江省莲汇农业科技有限公司,黑审稻20190024
吉林,庆林778,S81×S66,粳型常规稻,吉林市丰优农业研究所,吉审稻2015004
吉林,吉粳302,吉2006G50×吉粳85,粳型常规稻,吉林省农业科学院,吉审稻2015003
吉林,吉农大521,吉农大7号×秋田32,粳型常规稻,吉林农业大学,吉审稻2015002
辽宁,金峰稻999,辽粳454/沈农315×盐粳68,粳型常规稻,辽宁沈农利民科技有限公司,辽审稻20220006
辽宁,稻峰1号,辽粳454×中辽9052,粳型常规稻,庄河市新玉种业有限公司,辽审稻[2010]244号
吉林,吉粳117,长白15×长白16,粳型常规稻,吉林省农业科学院,吉审稻20170005
河北,鲲旱1号,爪哇稻/旱稻297×镇稻88,粳型常规稻,河北鲲鹏种业有限公司,冀审稻2012003号
吉林,九稻41号,九稻15号×浙辐802,粳型常规稻,吉林市农业科学院水稻研究所,吉审稻2003004
黑龙江,绥粳302,绥粳4号×绥粳9号,粳型常规稻,黑龙江省农业科学院绥化分院,黑审稻20190023
内蒙古,哲稻4号,秋田小町×丰优307,粳型常规稻,通辽市农牧科学研究所,蒙审稻2022013号
吉林,通育313,C27/C40×2449,粳型常规稻,通化市农业科学院水稻研究所,吉审稻2002003
辽宁,辽粳436,吉粳124×辽粳371,粳型常规稻,辽宁省水稻研究所,辽审稻2015007
内蒙古,古榆香稻2号,泰香王,粳型常规稻,开鲁县绿龙绿色食品产业开发研究所,蒙审稻2007009号
吉林,通院11号,秋田小町×通98-56,粳型常规稻,通化市农业科学院水稻所,吉审稻2008018
黑龙江,龙糯1号,B639,粳型常规稻,黑龙江省农业科学院水稻研究所,黑审稻1990002
吉林,通系942,C181×吉粳113,粳型常规稻,通化市农业科学研究院,吉审稻20220022
吉林,延粳24号,珍富10号×长寿锦,粳型常规稻,吉林省延边州农业科学院水稻研究所,吉审稻2002002
吉林,吉农大603,吉农大19号,粳型常规稻,吉林农业大学,吉审稻2011004
吉林,通系925,通粳288×通系3号,粳型常规稻,通化市农业科学研究院,吉审稻2011003
吉林,绿达177,吉玉粳×通1999-611,粳型常规稻,吉林市绿达农业技术发展有限公司等,吉审稻2011002
吉林,吉粳61号,吉粳53号/辽宁人工引变×B2,粳型常规稻,吉林省农业科学院水稻研究所,吉审稻1983001
吉林,松辽5号,秋光/早锦×陆誉,粳型常规稻,吉林省公主岭市松辽农业科学研究所,吉审稻2004005
吉林,东稻144,通禾855×通丰8号,粳型常规稻,中国科学院东北地理与农业生态研究所,吉审稻20190020
吉林,通禾869,C123×Y30,粳型常规稻,通化市农业科学研究院等,吉审稻20190019
吉林,吉粳518,吉10-57×吉粳88,粳型常规稻,吉林省农业科学院,吉审稻20190018
吉林,吉丰618,吉粳88×通粳790B,粳型常规稻,公主岭市南崴子街道农业技术推广站,吉审稻20190017
吉林,长白25号,保丰2号×吉2000F29,粳型常规稻,吉林省农业科学院水稻研究所,吉审稻2011001
吉林,长白8号,东北131×东北130,粳型常规稻,吉林省农业科学院水稻研究所,吉审稻1993003
辽宁,辽粳288,辽粳244,粳型常规稻,辽宁省稻作研究所,辽审稻[2001]86号
吉林,通系954,通粘634×通优11,粳型常规稻,通化市农业科学研究院,吉审稻20200011
辽宁,盐粳22,04F1-40×04F1-1,粳型常规稻,辽宁省盐碱地利用研究所,辽审稻2015016
辽宁,阳光稻110,盐丰47×唐粳6号,粳型常规稻,大石桥市阳光种业有限公司,辽审稻20240028
吉林,农粘379,农粘1号×日本粘4010,粳型常规稻,吉林农业大学,吉审稻2010027
黑龙江,龙庆稻6号,庆20-4×龙庆稻1号,粳型常规稻,庆安县北方绿洲稻作研究所,黑审稻2016005
内蒙古,兴育2号,粳优选H10×高丽小町V09,粳型常规稻,兴安盟兴安粳稻优质品种科技研究所,蒙审稻2022012号
吉林,峰禾115	,长白19×盐丰47,粳型常规稻,白城市丰源水稻研究所,吉审稻20210053
黑龙江,绥粳13,垦稻10号×绥粳3号,粳型常规稻,黑龙江省农业科学院绥化分院,黑审稻2010005
辽宁,盐粳1403,秋田小町/盐粳48×桥科951,粳型常规稻,辽宁省盐碱地利用研究所,辽审稻2017023
黑龙江,龙粳2号,合交7129×合单76-090,粳型常规稻,黑龙江省农业科学院水稻研究所,黑审稻1990001
辽宁,沈农265,辽粳326×1308/02428,粳型常规稻,沈阳农业大学,辽审稻[2001]85号
吉林,通院331,通35×通06-88,粳型常规稻,通化市农业科学研究院,吉审稻20170004
吉林,九稻63号,吉89-45/Jefferson×九稻22号,粳型常规稻,吉林市农业科学院,吉审稻2007016
辽宁,富禾稻273,MF04×辽21,粳型常规稻,辽宁富友种业有限公司,辽审稻20200006
黑龙江,牡丹江19号,石狩×岩锦,粳型常规稻,黑龙江省农业科学院牡丹江农科所,黑审稻1989002
吉林,通禾837,Y10×丰选2号,粳型常规稻,通化市农业科学院水稻所,吉审稻2008017
河北,隆粳59,冀粳13号/特优1号×吉粳88号,粳型常规稻,天津天隆种业科技有限公司等,冀审稻2012002号
吉林,东农12,虾夷×公交12,粳型常规稻,东北农学院,吉审稻1980004
吉林,九稻44号,吉93D22×九稻16号,粳型常规稻,吉林市农业科学院水稻研究所,吉审稻2004004
辽宁,彦粳软玉14,彦粳软玉1号×宁粳40/辽粳263,粳型常规稻,沈阳农业大学农学院,辽审稻20200034
吉林,通禾887,通禾835×通35/玉米,粳型常规稻,通化市农业科学研究院,吉审稻20180022
辽宁,抚105,新香糯×抚85-10,粳型常规稻,抚顺市农业科学研究院,辽审稻[2005]121号
辽宁,富禾稻258,02-H5×吉2843,粳型常规稻,辽宁富友种业有限公司,辽审稻20200005
辽宁,源粳2号,莎莎妮×袁粳9238,粳型常规稻,抚顺市广源种业有限公司,辽审稻20200004
吉林,通禾836,秋田32×通研1号,粳型常规稻,通化市农业科学院水稻所,吉审稻2008016
吉林,庆林668,吉粳88×九稻58,粳型常规稻,吉林省白城市农业科学院等,吉审稻2015001
吉林,吉粘17,吉08-2603×吉粳88,粳型常规稻,吉林省农业科学院,吉审稻20210031
吉林,通粘598,通粘1号,粳型常规稻,通化市农业科学研究院,吉审稻2010026
吉林,吉粳837,吉2009S-5×吉粳88,粳型常规稻,吉林省农业科学院,吉审稻20220021
吉林,吉农大538,松粳3×吉粳86,粳型常规稻,吉林农业大学,吉审稻20170003
辽宁,隆粳772,N240×辽盐92,粳型常规稻,国家粳稻工程技术研究中心等,辽审稻2017022
辽宁,玉隆粳1号,隆粳66×越光,粳型常规稻,辽宁天隆生物科技有限公司,辽审稻20240027
黑龙江,东农415,东农320×城建6号,粳型常规稻,东北农学院,黑审稻1989001
辽宁,辽粳371,辽粳87-675×辽开79,粳型常规稻,辽宁省稻作研究所,辽审稻[2001]84号
黑龙江,牡丹江31,牡98-1492×牡95-1211,粳型常规稻,黑龙江省农业科学院牡丹江分院,黑审稻2010004
吉林,庆林711,吉粳88/九稻58×庆林1号,粳型常规稻,吉林市丰优农业研究所,吉审稻20190016
辽宁,美锋1158,辽粳294×东示8号,粳型常规稻,辽宁东亚种业有限公司,辽审稻[2010]243号
辽宁,沈稻1号,千代锦×沈农8801,粳型常规稻,沈阳农业大学,辽审稻[2006]172号
黑龙江,北稻8号,北稻5号×北稻2号,粳型常规稻,黑龙江省北方稻作研究所,黑审稻20190022
辽宁,富禾稻275,辽288/辽21×辽21/11D9,粳型常规稻,辽宁富友种业有限公司,辽审稻20200003
吉林,九稻29号,藤系144,粳型常规稻,吉林市农业科学院水稻研究所,吉审稻2002001
黑龙江,龙稻26,合江19×龙稻7,粳型常规稻,黑龙江省农业科学院耕作栽培研究所,黑审稻2016004
吉林,九稻40号,青系96×藤系144,粳型常规稻,吉林市农业科学院水稻研究所,吉审稻2003003
辽宁,营盐3号,沈农611×辽粳326,粳型常规稻,大石桥市茂洋种子有限公司,辽审稻[2009]216号
内蒙古,鸿发18,牡丹江25×龙庆稻1号,粳型常规稻,佳木斯市鸿发种业有限公司,蒙审稻2022011号
吉林,平粳7号,98P42/5186×T21,粳型常规稻,吉林省平安农业科学院,吉审稻2007015
辽宁,勇稻1号,沈东1号×沈农9017,粳型常规稻,沈阳领先种业有限公司,辽审稻2015006
甘肃,银粳2号,9856,粳型常规稻,甘肃省白银市农业技术服务中心,甘审稻2009001
辽宁,天隆粳668,PB6×C169,粳型常规稻,天津天隆科技股份有限公司等,辽审稻20220005
吉林,藤系144,藤系128×藤系115,粳型常规稻,日本,吉审稻1993002
吉林,九稻39号,藤系144/通粳288//藤系144×藤系138,粳型常规稻,吉林市农业科学院水稻研究所,吉审稻2003002
吉林,九稻35号,九引1号×吉玉粳,粳型常规稻,吉林市农业科学院水稻研究所,吉审稻2003001
吉林,吉粘5号,甜米×R24,粳型常规稻,吉林省农业科学院水稻研究所,吉审稻2002031
吉林,廪实698,吉农大3号×通31,粳型常规稻,吉林省佳信种业有限公司,吉审稻20170002
吉林,双丰8号,吉粳60号×松前,粳型常规稻,吉林省永吉县双河镇,吉审稻1980003
辽宁,东壮039,7826-10×沈农91,粳型常规稻,辽宁丰华发展集团东壮种业有限公司,辽审稻2015015
吉林,通禾粘33,通禾12-6006×通禾12-6175,粳型常规稻,通化市农业科学研究院,吉审稻20210030
河北,隆粳58,冀粳14号×关东100/优质8号,粳型常规稻,天津天隆种业科技有限公司,冀审稻2012001号
吉林,吉农大671,松粳3号×吉粳95,粳型常规稻,吉林农业大学等,吉审稻20200010
吉林,吉宏207,秋光×通88-7,粳型常规稻,吉林省宏业种业公司,吉审稻2008015
吉林,吉粘4号,龙浩甲×龙糯1号,粳型常规稻,吉林省农业科学院水稻研究所,吉审稻2002030
吉林,长粳619,吉124×春承101,粳型常规稻,长春市农业科学院,吉审稻20200009
吉林,吉农大679,吉农大13×长白9,粳型常规稻,吉林大农种业有限公司,吉审稻20200008
辽宁,美锋稻245,农实99-5×通育240/辽粳288,粳型常规稻,辽宁东亚种业有限公司,辽审稻20200002
河北,垦稻2018,冀粳14号×垦育2号/春42,粳型常规稻,河北省农林科学院滨海农业研究所,冀审稻2011001号
河北,垦优0702,冀粳14号×垦优94-7,粳型常规稻,河北省农林科学院滨海农业研究所,冀审稻2010002号
河北,垦育88,中花8号/冀粳13号×冀粳14号,粳型常规稻,河北省农林科学院滨海农业研究所,冀审稻2010001号
吉林,通育8802,通院515×通育245/GM025,粳型常规稻,通化市农业科学研究院,吉审稻20220020
吉林,吉农大891,吉农大W14×吉01-124,粳型常规稻,吉林农业大学等,吉审稻20220019
辽宁,开粳2号,旱72,粳型常规稻,辽宁省开原市农业科学研究所,辽审稻[2001]83号
内蒙古,天源392,超产2号×TY96-21,粳型常规稻,吉林省天源种子研究所,蒙审稻2007008号
辽宁,富禾99,丰锦×东选2号,粳型常规稻,辽宁东亚种业有限公司,辽审稻[2005]171号
辽宁,沈农606,沈农92326×沈农265-11,粳型常规稻,沈阳农业大学,辽审稻[2003]120号
吉林,宏科181,辉粳7/通88-7×吉粳88,粳型常规稻,辉南县宏科水稻科研中心,吉审稻20170001
吉林,吉盛985,吉粳301×通禾99,粳型常规稻,通化市丰华种业有限公司,吉审稻20210052
内蒙古,鸿发19,龙粳3号×龙糯98-325,粳型常规稻,佳木斯市鸿发种业有限公司,蒙审稻2022010号
黑龙江,龙稻11号,九稻16号×空育131,粳型常规稻,黑龙江省农业科学院耕作栽培研究所,黑审稻2010003
吉林,吉农大128,吉农大8×通粳611,粳型常规稻,吉林农业大学,吉审稻20190015
辽宁,中辽9052,C102×多收3号/辽粳5号,粳型常规稻,中国农业科学院等,辽审稻[2000]82号
吉林,九稻43号,黑香粘×九稻18号,粳型常规稻,吉林市农业科学院,吉审稻2004003
吉林,延粳19号,通8311,粳型常规稻,吉林省延边州农业科学院水稻研究所,吉审稻1993001
吉林,汇研615,吉粳88×九稻14,粳型常规稻,吉林市昌邑区汇丰水稻种植基地,吉审稻20200007
辽宁,盐粳1402,盐粳188,粳型常规稻,辽宁省盐碱地利用研究所,辽审稻2017021
吉林,五优稻1号,松88-11,粳型常规稻,黑龙江省五常市种子公司等,吉审稻2001006
吉林,五优稻4号,五优稻1号,粳型常规稻,黑龙江省五常市中粮美裕长粒香水稻研究所,吉审稻2016011
吉林,通禾899,Y348×吉01-125/通禾830,粳型常规稻,通化市农业科学研究院,吉审稻2014026
吉林,通育245,A010×GB013,粳型常规稻,通化市农业科学研究院,吉审稻2010025
辽宁,辰禾168,盐丰47,粳型常规稻,盖州市辰禾种子有限公司,辽审稻[2009]215号
辽宁,盐粳933,盐粳68×柴稻,粳型常规稻,辽宁省盐碱地利用研究所,辽审稻2015014
辽宁,金稻1号,辽粳92-34×辽盐241,粳型常规稻,葫芦岛市种业有限责任公司,辽审稻2015013
辽宁,勇华粳501,丰民2000,粳型常规稻,辽宁丰民农业高新技术有限公司,辽审稻2015012
辽宁,北粳2号,沈农265/S9741×通135,粳型常规稻,沈阳农业大学,辽审稻2015011
辽宁,富禾稻100,辽粳207×沈农8801/辽粳371,粳型常规稻,辽宁富友种业有限公司,辽审稻2015010
辽宁,福星稻219,通系958×铁9610,粳型常规稻,开原市好收成农作物研究所,辽审稻2015005
辽宁,彦粳软玉12,2045,粳型常规稻,沈阳农业大学农学院,辽审稻20200033
辽宁,铁粳1712,铁粳9号×辽星1号,粳型常规稻,铁岭市农业科学院,辽审稻20220004
辽宁,美锋稻217,吉生286/农实99-5×富禾90,粳型常规稻,辽宁东亚种业有限公司,辽审稻20200001
辽宁,丹粳12号,丹粳7号×中丹2号,粳型常规稻,丹东农业科学院稻作研究所,辽审稻[2003]119号
吉林,新科33,吉粳88×上育397,粳型常规稻,吉林省新田地农业开发有限公司,吉审稻20200006
黑龙江,松粳22,五优稻4号×松02-253,粳型常规稻,黑龙江省农业科学院五常水稻研究所等,黑审稻2016003
吉林,东稻1号,C23×一目惚,粳型常规稻,中国科学院东北地理与农业生态研究所,吉审稻2007014
吉林,吉粳803,奥羽346×长白9号,粳型常规稻,吉林省农业科学院,吉审稻2007013
吉林,吉粳802,超产2号×吉玉粳,粳型常规稻,吉林省农业科学院,吉审稻2007012
吉林,九稻62号,桦农1号×九稻16号,粳型常规稻,吉林市农业科学院,吉审稻2007011
吉林,通育239,B410×A133,粳型常规稻,通化市农业科学院,吉审稻2007010
黑龙江,绥118146,绥粳4号×绥粳11,粳型常规稻,黑龙江省农业科学院绥化分院,黑审稻20190021
黑龙江,龙盾0913,龙联1号×龙粳20,粳型常规稻,黑龙江省莲江口种子有限公司,黑审稻20190020
黑龙江,绥稻616,莎莎妮×绥粳3号,粳型常规稻,绥化市盛昌种子繁育有限责任公司,黑审稻20190019
黑龙江,龙粳3767,龙花00-233/松粳4号×龙粳25,粳型常规稻,黑龙江省农业科学院水稻研究所等,黑审稻20190018
辽宁,方粳923,辽粳294×沈农8801,粳型常规稻,辽宁恒方农业科技有限公司,辽审稻20190019
吉林,通禾833,秋田32×通系103,粳型常规稻,通化市农业科学院,吉审稻2007009
吉林,通粘2号,京引147,粳型常规稻,吉林省通化市农业科学研究院,吉审稻2002029
辽宁,昌粳1号,吉01-124,粳型常规稻,不详,辽审稻2015004
黑龙江,龙庆粳6,龙交91036-1×龙花95361/龙粳10,粳型常规稻,庆安县北方绿洲稻作研究所,黑审稻20190017
内蒙古,兴粳8号,龙洋16×07-93,粳型常规稻,兴安盟农牧科学研究所等,蒙审稻2022009号
辽宁,北粳255,沈农604/五优稻4号×丰锦,粳型常规稻,沈阳农业大学水稻研究所,辽审稻20240026
吉林,东稻812,通禾899,粳型常规稻,中国科学院东北地理与农业生态研究所等,吉审稻20220018
吉林,月光2号,丰优307×通育124,粳型常规稻,梅河口市曹氏种业有限公司,吉审稻20220017
吉林,松辽778,秋田32×藤747,粳型常规稻,公主岭市松辽农业科学研究所等,吉审稻20220016
吉林,奔驰9,东稻3×吉农大808,粳型常规稻,吉林省奔驰水稻育种与开发有限公司,吉审稻20220015
吉林,吉粘8号,甜米×T215,粳型常规稻,吉林省农业科学院水稻研究所,吉审稻2006019
吉林,庆林粘90,吉粘10×庆林998,粳型常规稻,吉林市丰优农业研究所,吉审稻20210029
吉林,庆林粘78,通粘1号×通育313,粳型常规稻,吉林市丰优农业研究所,吉审稻20210028
吉林,臻粘1,通粘1号×通育211,粳型常规稻,公主岭市金福源农业科技有限公司,吉审稻20210027
吉林,东稻2号,野谷子,粳型常规稻,中国科学院东北地理与农业生态研究所,吉审稻2008014
吉林,通粘1号,京引174,粳型常规稻,通化市农业科学研究院,吉审稻1980002
吉林,通科68,吉粳88×通丰8号,粳型常规稻,通化市农业科学研究院等,吉审稻20190014
吉林,九稻69号,九稻18号×通319,粳型常规稻,吉林市农业科学院,吉审稻2010024
吉林,通稻1,一见钟情×东农0327,粳型常规稻,通化市农业科学研究院,吉审稻2010023
黑龙江,龙稻25,辽星1号×松粳12,粳型常规稻,黑龙江省农业科学院耕作栽培研究所,黑审稻2016002
黑龙江,龙稻24,龙稻5号×吉粳83号,粳型常规稻,黑龙江省农业科学院耕作栽培研究所,黑审稻2016001
黑龙江,龙桦2号,莎莎妮×绥粳4号,粳型常规稻,黑龙江田友种业有限公司,黑审稻2015019
黑龙江,龙稻22,五优稻1号×龙锦1号,粳型常规稻,黑龙江省农业科学院耕作栽培研究所,黑审稻2015018
黑龙江,龙粳49,龙花99465/龙花94595×龙糯98325,粳型常规稻,黑龙江省龙科种业集团有限公司等,黑审稻2015017
黑龙江,绥稻5号,普粘7号×空育131,粳型常规稻,绥化市盛昌种子繁育有限责任公司,黑审稻2015016
吉林,吉优3985,639A×吉粳85,粳型三系杂交稻,吉林省农业科学院,吉审稻2014025
甘肃,银黑香粳,龙锦1号,粳型常规稻,甘肃省白银市农业科学研究所,甘审稻2000002
辽宁,彦粳软玉11,彦粳软玉1号×ZY42,粳型常规稻,沈阳农业大学农学院,辽审稻20200032
吉林,通育266,秋光×34025,粳型常规稻,通化市农业科学研究院,吉审稻2016010
吉林,吉粳79号,青系96,粳型常规稻,吉林省农业科学院水稻研究所,吉审稻2001005
辽宁,铁粳1743,辽星1号×松02-218,粳型常规稻,铁岭市农业科学院,辽审稻20220003
内蒙古,兴粳11号,松辽0519×长白19,粳型常规稻,兴安盟农牧科学研究所等,蒙审稻2022008号
黑龙江,龙稻10号,富士光×垦系104,粳型常规稻,黑龙江省农业科学院耕作栽培研究所,黑审稻2010002
辽宁,辽粳1499,辽粳294×盐粳218,粳型常规稻,辽宁省水稻研究所,辽审稻2017020
辽宁,稻源香久,五优稻4号×辽粳294,粳型常规稻,营口天域稻业有限公司,辽审稻20190018
辽宁,盐粳337,越富×盐丰47/G98040,粳型常规稻,辽宁省盐碱地利用研究所,辽审稻20200031
辽宁,盐粳219,越富×盐粳218,粳型常规稻,辽宁省盐碱地利用研究所,辽审稻20200030
辽宁,盐粳313,越富×港源8号/抗盐100,粳型常规稻,辽宁省盐碱地利用研究所,辽审稻20200029
吉林,吉大198,松粳9号×通丰9,粳型常规稻,吉林大学植物科学学院等,吉审稻20200005
黑龙江,绥129287,绥粳9号×上育397/莎莎妮,粳型常规稻,黑龙江省农业科学院绥化分院,黑审稻20190016
天津,中作321,白金/科情3号×台中39/水原300粒//白金///IR24,粳型常规稻,中国农业科学院作物科学研究所,津审稻1989015
吉林,通星3,通育245×吉粳88,粳型常规稻,通化市丰华种业有限公司,吉审稻20210051
吉林,延粳26号,韩国引进材料,粳型常规稻,吉林省延边州农业科学院,吉审稻2004002
甘肃,银稻1号,?,粳型常规稻,甘肃省白银市农业科学研究所,甘审稻2000001
甘肃,宁粳16号,81D-86×81K-249-3,粳型常规稻,宁夏农林科学院农作物研究所,甘审稻1999001
辽宁,港育2号,丹粳7号×垦育2号,粳型常规稻,东港市农业技术推广中心,辽审稻[2005]170号
河北,冀香糯1号,新香糯×冀糯1号,粳型常规稻,河北省农林科学院滨海农业研究所,冀审稻2009003号
吉林,赋育333,赋育2号×938,粳型常规稻,吉林省西部绿洲投资有限公司,吉审稻2008013
吉林,旭粳8,吉粳88/吉89-45×丰选3号,粳型常规稻,吉林东丰东旭农业有限公司,吉审稻2014008
吉林,平安粳稻11,龙一×辽盐3号,粳型常规稻,吉林省平安农业科学院,吉审稻2010022
河北,垦优2000,京越1号/冀粳1号×意引3号,粳型常规稻,河北省农业科学院稻作研究所,冀审稻2002003号
内蒙古,天源391,TY21,粳型常规稻,吉林省天源种子研究所,蒙审稻2007007号
内蒙古,兴粳14号,五优稻4号,粳型常规稻,兴安盟隆华农业科技有限公司等,蒙审稻2022007号
吉林,通院香518,五优1号×通98-8,粳型常规稻,通化市农业科学研究院,吉审稻2016009
吉林,吉粘3号,龙浩甲×龙糯1号,粳型常规稻,吉林省农业科学院水稻研究所,吉审稻2002028
辽宁,辽优7号,79-227×82-308/S56,粳型常规稻,辽宁省稻作研究所,辽审稻[2000]81号
吉林,吉农大815,吉农大13号×辽粳207,粳型常规稻,吉林农业大学,吉审稻2014024
吉林,吉粘2号,513-5×吉粳60,粳型常规稻,吉林省农业科学院水稻研究所,吉审稻1980001
吉林,吉粘6号,T659/吉95-24×吉95-15,粳型常规稻,吉林省农业科学院水稻研究所,吉审稻2006018
辽宁,沈农9903,沈农89-366/辽粳454×沈农9741,粳型常规稻,沈阳农业大学,辽审稻[2009]214号
天津,中系8215,中丹2号×中系7709,粳型常规稻,中国农业科学院作物科学研究所,津审稻1989014
天津,红旗23,福稔×东方红1号,粳型常规稻,天津市农业科学院水稻研究所,津审稻1987004
天津,津稻1187,66151/八重垣×台南3号,粳型常规稻,天津市农作物研究所,津审稻1987003
辽宁,沈稻105,沈稻558×东农428,粳型常规稻,沈阳农业大学农学院,辽审稻20220002
辽宁,丹粳11,丹粳3号,粳型常规稻,丹东农业科学院稻作研究所,辽审稻[2003]118号
内蒙古,保农105,松93-9×松粳12,粳型常规稻,扎赉特旗佰东农业科技有限公司,蒙审稻2022006号
吉林,松泽粘378,长粘5×长白17,粳型常规稻,吉林省松泽农业科技有限公司,吉审稻20210026
辽宁,丹粳24,丹621×港辐15,粳型常规稻,丹东农业科学院,辽审稻20200028
辽宁,沈稻529,辽粳454×沈农315,粳型常规稻,沈阳农业大学农学院,辽审稻2015003
辽宁,民喜9号,丹粳4号×丹粳7号,粳型常规稻,东港市种子公司,辽审稻[2005]169号
吉林,通泽861,通院513/04-d2×吉粳88,粳型常规稻,辉南县鹤浪水稻研发有限公司,吉审稻20190013
辽宁,稻源8号,丰锦×稻源16,粳型常规稻,营口天域稻业有限公司,辽审稻20190017
吉林,吉星粳稻18,秋光×凤旱鉴,粳型常规稻,吉林市晨光农业科技专业合作社,吉审稻2010021
黑龙江,龙洋1号,五优稻1号×龙洋长粒,粳型常规稻,五常市龙洋种子有限责任公司,黑审稻2010001
河北,垦稻2017,冀粳14号×关东100/春42,粳型常规稻,河北省农林科学院滨海农业研究所,冀审稻2009002号
吉林,东稻122,通禾899,粳型常规稻,中国科学院东北地理与农业生态研究所,吉审稻20200004
吉林,翔贺611,南193×农大809,粳型常规稻,吉林省松泽农业科技有限公司,吉审稻20200003
黑龙江,绿珠4号,通粘1号×东农糯418,粳型常规稻,五常市绿珠水稻原种场,黑审稻2015015
黑龙江,牡育稻42,牡00-1066×垦稻12,粳型常规稻,黑龙江省农业科学院牡丹江分院,黑审稻20190015
吉林,通育120,C113/71024×C25/C43,粳型常规稻,通化市农业科学院水稻研究所,吉审稻2001004
辽宁,天隆优619,L6A×R19,粳型三系杂交稻,天津天隆种业科技有限公司,辽审稻2015002
辽宁,裕粳香2号,沈稻11×S34,粳型常规稻,沈阳裕赓种业有限公司,辽审稻2015001
辽宁,辽16优06,辽5216A×C2106,粳型三系杂交稻,辽宁省水稻研究所,辽审稻2014016
辽宁,粳优106,粳139A×C2106,粳型三系杂交稻,辽宁省水稻研究所,辽审稻2014015
辽宁,丹粳优1号,丹粳4A×丹恢1号,粳型三系杂交稻,丹东农业科学院稻作研究所,辽审稻2014014
辽宁,P两优61,P2S×CP61,粳型两系杂交稻,吉林省农业科学院,辽审稻20220001
吉林,通华195,平粳8×上育453,粳型常规稻,通化市丰华种业有限公司,吉审稻20210050
吉林,稻光1号,秋光×下北,粳型常规稻,吉林省通化市农业科学院,吉审稻2004001
吉林,佳稻428,九稻41×九引1号,粳型常规稻,吉林省佳信种业有限公司,吉审稻2014023
吉林,吉禾699,通科37×吉粳809,粳型常规稻,吉林省吉禾种业开发有限公司,吉审稻20210049
辽宁,盐粳香568,盐粳218×D219,粳型常规稻,辽宁省盐碱地利用研究所,辽审稻20240025
内蒙古,天源324,TY97,粳型常规稻,吉林省天源种子研究所,蒙审稻2007006号
辽宁,中作58,中花8号×中系8408,粳型常规稻,中国农业科学院作物科学研究所等,辽审稻[2000]80号
黑龙江,龙糯3号,龙糯99-392×龙育99-390,粳型常规稻,黑龙江省农业科学院水稻研究所,黑审稻2009015
吉林,旭粳6,丰选2号×农大3号,粳型常规稻,吉林东丰东旭农业有限公司,吉审稻2014022
吉林,德禹317,九-333A×松93-8,粳型常规稻,吉林德禹种业有限责任公司,吉审稻2014007
吉林,金浪1号,辽盐2号×藤系144,粳型常规稻,吉林省农业科学院水稻研究所,吉审稻2003027
辽宁,富禾5号,省抗34×中系237,粳型常规稻,开原市农业科学研究所,辽审稻[2003]117号
辽宁,丹粳14,丹621×港辐15,粳型常规稻,丹东农业科学院,辽审稻20190016
吉林,华育5505,松粳3/吉农大8×通系103,粳型常规稻,长春市华茂种业科技有限公司,吉审稻20200002
辽宁,沈稻29,农林313×沈农9562,粳型常规稻,沈阳农业大学,辽审稻[2009]213号
吉林,吉粳827,泰丰州×吉粳88,粳型常规稻,吉林省农业科学院,吉审稻20210025
辽宁,锦稻香208,PH305,粳型常规稻,盘锦北方农业技术开发有限公司,辽审稻20200027
