省份,品种名称,亲本来源,类型,原产地,审定编号,审定方,审定序号,母本,审定公司
广西,奥两优499,奥龙1S×R499,籼型两系杂交稻,湖南奥谱隆科技股份有限公司,桂审稻2014002号,桂审稻,2014002,奥龙1S,湖南奥谱隆科技股份有限公司
广西,中9优207,中9A×先恢207,籼型三系杂交稻,中国水稻研究所,桂审稻200047号,桂审稻,200047,中9A,中国水稻研究所
海南,元丰优2088,元丰A×明恢2088,籼型三系杂交稻,福建省三明市农业科学研究所等,琼审稻2011002,琼审稻,2011002,元丰A,福建省三明市农业科学研究所
广西,博优5398,博A×R5398,籼型三系杂交稻,广西百色兆农两系杂交水稻研发中心,桂审稻2009018号,桂审稻,2009018,博A,广西百色兆农两系杂交水稻研发中心
广西,泰丰优桂99,泰丰18A×桂99,籼型三系杂交稻,广西象州黄氏水稻研究所,桂审稻2009017号,桂审稻,2009017,泰丰18A,广西象州黄氏水稻研究所
广西,正优958,正A×R958,籼型三系杂交稻,不详,桂审稻2011031号,桂审稻,2011031,正A,不详
广西,特优969,龙特甫A×兴恢969,籼型三系杂交稻,福建兴禾种业科技有限公司,桂审稻2008010号,桂审稻,2008010,龙特甫A,福建兴禾种业科技有限公司
广西,中优781,中9A×桂781,籼型三系杂交稻,广西区种子公司,桂审稻2001027号,桂审稻,2001027,中9A,广西区种子公司
广西,谷优18,谷丰A×南恢18,籼型三系杂交稻,福建省南平市农业科学研究所,桂审稻2009016号,桂审稻,2009016,谷丰A,福建省南平市农业科学研究所
广西,K优7463,K17A×R463,籼型三系杂交稻,四川川种种业有限公司,桂审稻2014001号,桂审稻,2014001,K17A,四川川种种业有限公司
广西,桂育9号,黄华占×力源占1号,籼型常规稻,广西壮族自治区农业科学院水稻研究所,桂审稻2014039号,桂审稻,2014039,黄华占,广西壮族自治区农业科学院水稻研究所
广西,博优781,博A×桂781,籼型三系杂交稻,广西区种子公司,桂审稻2001026号,桂审稻,2001026,博A,广西区种子公司
广西,钱优1号,钱江1号A×浙恢7954,籼型三系杂交稻,浙江省农业科学院作物与核技术利用研究所等,桂审稻2009015号,桂审稻,2009015,钱江1号A,浙江省农业科学院作物与核技术利用研究所
广西,耐德606,南宁紫米×玉香油占,籼型常规稻,柳州市农业科学研究所,桂审稻2014038号,桂审稻,2014038,南宁紫米,柳州市农业科学研究所
广西,中优402,中9A×R402,籼型三系杂交稻,中国水稻研究所,桂审稻200046号,桂审稻,200046,中9A,中国水稻研究所
广西,博Ⅲ优273,博ⅢA×R273,籼型三系杂交稻,广西博白县农业科学研究所,桂审稻2004020号,桂审稻,2004020,博ⅢA,广西博白县农业科学研究所
海南,农两优631,272s×金恢631,籼型两系杂交稻,福建农林大学作物科学学院等,琼审稻2018003,琼审稻,2018003,272s,福建农林大学作物科学学院
广西,五优华占,五丰A×华占,籼型三系杂交稻,广东省农业科学院水稻研究所等,桂审稻2013036号,桂审稻,2013036,五丰A,广东省农业科学院水稻研究所
海南,Y两优39,Y58S×海恢39,籼型两系杂交稻,海南海亚南繁种业有限公司,琼审稻2011001,琼审稻,2011001,Y58S,海南海亚南繁种业有限公司
广西,博优5058,博A×R5058,籼型三系杂交稻,广西兆和种业有限公司,桂审稻2011030号,桂审稻,2011030,博A,广西兆和种业有限公司
广西,宜优168,宜香1A×瑞恢68,籼型三系杂交稻,广西皓凯生物科技有限公司等,桂审稻2014037号,桂审稻,2014037,宜香1A,广西皓凯生物科技有限公司
广西,博优752,博A×科恢752,籼型三系杂交稻,江西省农业科学院水稻研究所,桂审稻2001025号,桂审稻,2001025,博A,江西省农业科学院水稻研究所
海南,晶两优黄莉占,晶4155S×黄莉占,籼型两系杂交稻,袁隆平农业高科技股份有限公司等,琼审稻2018002,琼审稻,2018002,晶4155S,袁隆平农业高科技股份有限公司
广西,孟两优701,孟S×R701,籼型两系杂交稻,广西绿田种业有限公司,桂审稻2013035号,桂审稻,2013035,孟S,广西绿田种业有限公司
广西,明两优527,明香10S×蜀恢527,籼型两系杂交稻,福建省三明市农业科学研究所等,桂审稻2009014号,桂审稻,2009014,明香10S,福建省三明市农业科学研究所
海南,晶两优1377,晶4155S×R1377,籼型两系杂交稻,袁隆平农业高科技股份有限公司等,琼审稻2018001,琼审稻,2018001,晶4155S,袁隆平农业高科技股份有限公司
